Flood impact / outcome features (derived):,,,,Weather Variables:,,,,,,,,,Geospatial features (static):,,,,Historical flood features:,,
FLOOD_OCCURRENCE (0/1),flood_depth (cm) (numeric),RISK_LEVEL (LOW/MEDIUM/HIGH),flood_risk_score,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),rain_3hr_total,rain_6hr_total,rain_24hr_total,wind_speed (m/s),atmospheric_pressure (hPa),elevation (m),slope (degrees),latitude,longitude,flood_frequency,avg_past_flood_depth (cm),flood_frequency_category
0,0,LOW,0,24.6,86,0,0,0,0,0,20.5,1014.6,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.5,86,0.1,0.1,0,0,0,20.5,1014,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.4,87,0.2,0.2,0.3,0,0,21.6,1013.4,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.1,90,1.3,1.3,1.6,0,0,21.6,1012.9,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.1,91,4,4,5.5,0,0,21.3,1012.8,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.1,91,1.6,1.6,6.9,7.2,0,19.1,1013,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.7,88,0.5,0.5,6.1,7.7,0,22.4,1013.4,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.6,90,0.2,0.2,2.3,7.8,0,23.1,1013.8,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.8,89,0.1,0.1,0.8,7.7,0,13.8,1015.2,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,25.5,88,0.3,0.3,0.6,6.7,0,18,1015,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,26,85,0.2,0.2,0.6,2.9,0,23.1,1014.3,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,27.5,80,0.1,0.1,0.6,1.4,0,24.5,1014,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,27,79,0.1,0.1,0.4,1,0,27.2,1013.2,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,27,80,0.1,0.1,0.3,0.9,0,26.2,1012.4,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,27.1,79,0.1,0.1,0.3,0.9,0,25.5,1011.6,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,26.9,80,0.2,0.2,0.4,0.8,0,25.8,1011.3,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,26,85,0.2,0.2,0.5,0.8,0,20.6,1011.5,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,25.2,87,0.1,0.1,0.5,0.8,0,20.5,1011.9,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,25.2,88,0.3,0.3,0.6,1,0,22.5,1012.8,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,25.1,87,0.3,0.3,0.7,1.2,0,24,1013.7,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.7,86,0.1,0.1,0.7,1.2,0,22.9,1013.7,8,2,10.29877,123.84886,96,0.890942277,HIGH
0,0,LOW,0,24.8,86,0.2,0.2,0.6,1.2,0,22.9,1014.1,8,2,10.29877,123.84886,96,0.890942277,HIGH
