Flood impact / outcome features (derived):,,,,Weather Variables:,,,,,,,,,Geospatial features (static):,,,,Historical flood features:,,
FLOOD_OCCURRENCE (0/1),flood_depth (cm) (numeric),RISK_LEVEL (LOW/MEDIUM/HIGH),flood_risk_score,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),rain_3hr_total,rain_6hr_total,rain_24hr_total,wind_speed (m/s),atmospheric_pressure (hPa),elevation (m),slope (degrees),latitude,longitude,flood_frequency,avg_past_flood_depth (cm),flood_frequency_category
0,0,LOW,,25.5,85,0.8,0.8,0,0,0,18.8,1015.3,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,25.9,82,0,0,0,0,0,19.7,1015.2,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.4,78,0.1,0.1,0.9,0,0,25,1014.8,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.5,78,0.2,0.2,0.3,0,0,26.5,1014.6,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.5,79,0.1,0.1,0.4,0,0,27.5,1013.6,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.4,78,0.1,0.1,0.4,1.3,0,31.2,1012.7,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.7,75,0,0,0.2,0.5,0,31,1012.1,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.2,77,0,0,0.1,0.5,0,36,1011.6,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.3,76,0,0,0,0.4,0,35.1,1011.7,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.3,75,0,0,0,0.2,0,34.1,1012.1,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.4,74,0,0,0,0.1,0,34.5,1013,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.4,74,0,0,0,0,0,32.8,1013.8,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.3,72,0,0,0,0,0,31.7,1013.9,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26.3,72,0,0,0,0,0,34.6,1014.3,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26,74,0,0,0,0,0,31,1014.3,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26,74,0,0,0,0,0,30.6,1014.2,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26,74,0,0,0,0,0,31.8,1014,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,26,74,0,0,0,0,0,32.9,1013.4,6,1,10.2911,123.8934,84,0.8416039243,HIGH
0,0,LOW,,25.9,74,0,0,0,0,0,33.7,1012.6,6,1,10.2911,123.8934,84,0.8416039243,HIGH
