Flood impact / outcome features (derived):,,,,Weather Variables:,,,,,,,,,Geospatial features (static):,,,,Historical flood features:,,
FLOOD_OCCURRENCE (0/1),flood_depth (cm) (numeric),RISK_LEVEL (LOW/MEDIUM/HIGH),flood_risk_score,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),rain_3hr_total,rain_6hr_total,rain_24hr_total,wind_speed (m/s),atmospheric_pressure (hPa),elevation (m),slope (degrees),latitude,longitude,flood_frequency,avg_past_flood_depth (cm),flood_frequency_category
0,0,LOW,0,23.5,91,0.2,0.2,0,0,0,23.3,1014.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,24.5,87,0.2,0.2,0,0,0,23.9,1013.9,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,25.1,84,0.4,0.4,0.8,0,0,26.3,1013.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,25.4,82,0.3,0.3,0.9,0,0,27.2,1013.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,26,80,0.4,0.4,1.1,0,0,29.5,1012.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,25.9,81,0.7,0.7,1.4,2.2,0,28.7,1011.8,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,25.8,81,0.8,0.8,1.9,2.8,0,27,1011.1,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,25.4,83,0.4,0.4,1.9,3,0,24.7,1010.9,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,24,91,1.2,1.2,2.4,3.8,0,21.4,1011.3,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,24.5,86,0.5,0.5,2.1,4,0,25.7,1011.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.5,92,0.5,0.5,2.2,4.1,0,23.9,1012.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.6,91,0.5,0.5,1.5,3.9,0,24.4,1013.2,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.5,91,0.3,0.3,1.3,3.4,0,18.1,1013.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.4,94,1.2,1.2,2,4.2,0,20.2,1013.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.2,93,0.7,0.7,2.2,3.7,0,20.5,1013.8,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.2,92,0.6,0.6,2.5,3.8,0,19.3,1013.7,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.1,93,0.9,0.9,2.2,4.2,0,16.8,1013.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23,94,0.6,0.6,2.1,4.3,0,17.1,1012.8,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.1,90,0.2,0.2,1.7,4.2,0,19.7,1011.9,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,22.6,92,0.3,0.3,1.1,3.3,0,18,1011.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,22.6,93,0.3,0.3,0.8,2.9,0,19.1,1011.3,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,22.9,92,0.1,0.1,0.7,2.4,0,19.5,1011.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,0,23.1,90,0.2,0.2,0.6,1.7,0,19.9,1011.7,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,17.1,23.2,91,5.6,5.6,5.9,6.7,17.1,21.6,1012.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,19,23.3,91,2.1,2.1,7.9,8.6,19,20,1013.8,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,23.1,23.3,94,4.3,4.3,12,12.6,23.1,21.9,1014,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,27.3,23.4,94,4.6,4.6,11,16.9,27.3,21.4,1014,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,31.5,23.4,94,4.5,4.5,13.4,21.3,31.5,24.2,1013.3,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,35.4,23.3,94,4.3,4.3,13.4,25.4,35.4,20.1,1013.1,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,38.2,23.4,93,3.5,3.5,12.3,23.3,38.2,16.1,1012.1,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,40.6,23.5,92,3.2,3.2,11,24.4,40.6,15.5,1011.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,48.7,23.4,92,8.5,8.5,15.2,28.6,48.7,11.8,1011,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,51.7,23.4,93,4.2,4.2,15.9,28.2,51.7,14.8,1011.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,53,23.3,94,1.8,1.8,14.5,25.5,53,16,1012,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,53.5,23.3,94,1,1,7,22.2,53.5,18.9,1012.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,53.4,23.1,94,0.4,0.4,3.2,19.1,53.4,19.9,1013,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,15,MEDIUM,53.5,23.5,90,0.4,0.4,1.8,16.3,53.5,22.2,1013.3,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,52.5,23.5,90,0.2,0.2,1,8,52.5,21.9,1013.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,52,23.4,90,0.2,0.2,0.8,4,52,22.4,1013.7,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,51.5,23.2,92,0.1,0.1,0.5,2.3,51.5,22.2,1013.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,50.7,23.2,92,0.1,0.1,0.4,1.4,50.7,21,1012.9,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,50.2,23.4,91,0.1,0.1,0.3,1.1,50.2,18.6,1012.1,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,50.1,23.3,91,0.1,0.1,0.3,0.8,50.1,18.4,1012,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,50,23.1,92,0.2,0.2,0.4,0.8,50,17.5,1011.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,49.9,23,93,0.2,0.2,0.5,0.8,49.9,17.1,1011.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,49.9,23.1,93,0.1,0.1,0.5,0.8,49.9,18.2,1011.3,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,49.9,23.2,92,0.2,0.2,0.5,0.9,49.9,18.6,1011.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,44.6,23.4,92,0.3,0.3,0.6,1.1,44.6,20.2,1012.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,42.8,23.5,91,0.3,0.3,0.8,1.3,42.8,17.6,1013.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,38.6,24.5,88,0.1,0.1,0.7,1.2,38.6,18.6,1013.6,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,34.3,25,83,0.3,0.3,0.7,1.3,34.3,21.8,1013.2,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,30.5,24.2,86,0.7,0.7,1.1,1.9,30.5,22.2,1012.8,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,26.7,25.2,82,0.5,0.5,1.5,2.2,26.7,23.5,1011.9,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,23.7,24.9,84,0.5,0.5,1.7,2.4,23.7,20.7,1011.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
1,5,LOW,20.9,25.6,78,0.4,0.4,1.4,2.5,20.9,23.6,1010.5,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
0,0,LOW,12.7,25.3,81,0.3,0.3,1.2,2.7,12.7,22.9,1010.4,4.3,1.15,10.3012,123.909,115,0.737223363,HIGH
